,vid_name,frame,x,y,w,h,gender,age,smile,anger,contempt,disgust,fear,happiness,neutral,sadness,surprise
0,reactionvideo,48,288,242,256,256,male,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998,0.002,0.0
1,reactionvideo,48,865,201,182,182,female,33.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,reactionvideo,72,289,225,232,232,male,33.0,0.0,0.0,0.004,0.0,0.0,0.0,0.823,0.172,0.0
3,reactionvideo,72,858,200,181,181,female,35.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,reactionvideo,96,267,140,203,203,male,32.0,0.982,0.0,0.01,0.0,0.0,0.982,0.005,0.003,0.0
5,reactionvideo,96,868,198,182,182,female,33.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,reactionvideo,120,283,198,227,227,male,32.0,0.159,0.0,0.003,0.0,0.0,0.159,0.836,0.001,0.0
7,reactionvideo,120,886,191,187,187,female,33.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,reactionvideo,144,308,180,244,244,male,33.0,0.018,0.0,0.001,0.0,0.0,0.018,0.982,0.0,0.0
9,reactionvideo,144,870,204,187,187,female,33.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,reactionvideo,168,286,189,242,242,male,33.0,0.016,0.0,0.0,0.0,0.0,0.016,0.983,0.0,0.0
11,reactionvideo,168,870,212,184,184,female,34.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12,reactionvideo,288,242,196,240,240,male,35.0,0.232,0.001,0.004,0.001,0.0,0.232,0.76,0.003,0.0
13,reactionvideo,288,926,228,196,196,female,31.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
14,reactionvideo,288,1196,500,54,54,female,20.0,0.269,0.0,0.0,0.0,0.0,0.269,0.709,0.016,0.005
15,reactionvideo,312,212,182,227,227,male,33.0,0.049,0.0,0.006,0.0,0.0,0.049,0.936,0.009,0.0
16,reactionvideo,312,852,190,188,188,female,32.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17,reactionvideo,312,1202,649,41,41,male,27.0,0.204,0.0,0.196,0.0,0.0,0.204,0.6,0.0,0.0
18,reactionvideo,336,244,203,231,231,male,33.0,0.791,0.0,0.016,0.0,0.0,0.791,0.193,0.0,0.0
19,reactionvideo,336,850,193,189,189,female,33.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20,reactionvideo,336,1202,649,41,41,male,28.0,0.151,0.0,0.075,0.0,0.0,0.151,0.771,0.0,0.003
21,reactionvideo,360,255,178,241,241,male,29.0,0.012,0.0,0.003,0.0,0.0,0.012,0.976,0.004,0.004
22,reactionvideo,360,858,199,188,188,female,32.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
23,reactionvideo,360,1202,649,41,41,male,29.0,0.098,0.0,0.059,0.0,0.0,0.098,0.841,0.0,0.002
24,reactionvideo,384,276,189,236,236,male,32.0,0.001,0.0,0.063,0.0,0.0,0.001,0.932,0.004,0.0
25,reactionvideo,384,864,207,185,185,female,31.0,0.981,0.0,0.005,0.0,0.0,0.981,0.014,0.0,0.0
26,reactionvideo,384,1201,648,42,42,male,28.0,0.095,0.0,0.204,0.0,0.0,0.095,0.699,0.0,0.001
27,reactionvideo,408,278,209,240,240,male,32.0,0.0,0.0,0.001,0.0,0.0,0.0,0.997,0.001,0.0
28,reactionvideo,408,838,203,180,180,female,33.0,0.975,0.0,0.018,0.0,0.0,0.975,0.007,0.0,0.0
29,reactionvideo,408,1202,649,42,42,male,29.0,0.148,0.0,0.2,0.0,0.0,0.148,0.651,0.0,0.001
30,reactionvideo,432,275,226,225,225,male,32.0,0.046,0.0,0.006,0.0,0.0,0.046,0.943,0.005,0.0
31,reactionvideo,432,869,204,185,185,female,31.0,0.997,0.0,0.0,0.0,0.0,0.997,0.003,0.0,0.0
32,reactionvideo,432,1202,649,42,42,male,28.0,0.172,0.0,0.145,0.0,0.0,0.172,0.679,0.0,0.003
33,reactionvideo,456,305,207,252,252,male,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.987,0.013,0.0
34,reactionvideo,456,895,207,196,196,female,30.0,0.887,0.0,0.0,0.0,0.0,0.887,0.113,0.0,0.0
35,reactionvideo,456,1202,649,41,41,male,29.0,0.287,0.0,0.158,0.0,0.0,0.287,0.555,0.0,0.0
36,reactionvideo,480,298,214,262,262,male,33.0,0.001,0.0,0.001,0.0,0.0,0.001,0.973,0.024,0.0
37,reactionvideo,480,920,205,200,200,female,31.0,0.987,0.0,0.0,0.0,0.0,0.987,0.013,0.0,0.0
38,reactionvideo,480,1201,648,42,42,male,28.0,0.111,0.0,0.283,0.0,0.0,0.111,0.606,0.0,0.0
39,reactionvideo,504,313,196,256,256,male,34.0,0.021,0.0,0.003,0.0,0.0,0.021,0.976,0.0,0.0
40,reactionvideo,504,938,204,203,203,female,32.0,0.994,0.0,0.0,0.0,0.0,0.994,0.006,0.0,0.0
41,reactionvideo,504,1202,648,42,42,male,27.0,0.143,0.0,0.219,0.0,0.0,0.143,0.636,0.0,0.002
42,reactionvideo,528,336,200,259,259,male,35.0,0.922,0.0,0.003,0.0,0.0,0.922,0.075,0.0,0.0
43,reactionvideo,528,964,200,211,211,female,33.0,0.998,0.0,0.0,0.0,0.0,0.998,0.002,0.0,0.0
44,reactionvideo,528,1201,649,42,42,male,27.0,0.14,0.0,0.116,0.0,0.0,0.14,0.741,0.0,0.003
45,reactionvideo,552,359,186,273,273,male,32.0,0.02,0.0,0.031,0.0,0.0,0.02,0.949,0.0,0.0
46,reactionvideo,552,986,206,213,213,female,31.0,0.986,0.0,0.0,0.0,0.0,0.986,0.014,0.0,0.0
47,reactionvideo,552,1202,648,42,42,male,27.0,0.102,0.0,0.455,0.0,0.0,0.102,0.441,0.0,0.001
48,reactionvideo,576,366,209,285,285,male,32.0,0.016,0.0,0.033,0.0,0.0,0.016,0.95,0.0,0.0
49,reactionvideo,576,1007,205,223,223,female,31.0,0.698,0.0,0.0,0.0,0.0,0.698,0.302,0.0,0.0
50,reactionvideo,576,1202,649,41,41,male,28.0,0.128,0.0,0.151,0.0,0.0,0.128,0.72,0.0,0.0
51,reactionvideo,600,344,250,302,302,male,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999,0.0,0.0
52,reactionvideo,600,1027,207,230,230,female,31.0,0.931,0.0,0.0,0.0,0.0,0.931,0.069,0.0,0.0
53,reactionvideo,600,1201,648,42,42,male,29.0,0.153,0.0,0.233,0.0,0.0,0.153,0.613,0.0,0.0
54,reactionvideo,624,348,233,304,304,male,33.0,0.0,0.0,0.001,0.0,0.0,0.0,0.981,0.018,0.0
55,reactionvideo,624,1064,208,215,228,female,33.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
56,reactionvideo,624,1202,649,41,41,male,29.0,0.205,0.0,0.213,0.0,0.0,0.205,0.582,0.0,0.001
57,reactionvideo,648,397,200,310,310,male,33.0,0.0,0.0,0.002,0.0,0.0,0.0,0.998,0.0,0.0
58,reactionvideo,648,1093,205,186,236,female,36.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
59,reactionvideo,648,1202,649,40,40,male,29.0,0.284,0.0,0.218,0.0,0.0,0.284,0.498,0.0,0.0
60,reactionvideo,672,385,198,309,309,male,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999,0.001,0.0
61,reactionvideo,672,1202,649,42,42,male,30.0,0.194,0.0,0.222,0.0,0.0,0.194,0.584,0.0,0.0
62,reactionvideo,696,387,192,319,319,male,32.0,0.0,0.0,0.006,0.0,0.0,0.0,0.994,0.0,0.0
63,reactionvideo,696,1202,648,42,42,male,29.0,0.137,0.0,0.247,0.0,0.0,0.137,0.615,0.0,0.001
64,reactionvideo,720,404,212,331,331,male,33.0,0.0,0.0,0.001,0.0,0.0,0.0,0.997,0.002,0.0
65,reactionvideo,720,1201,649,42,42,male,30.0,0.251,0.0,0.154,0.0,0.0,0.251,0.595,0.0,0.0
