,vid_name,frame,x,y,w,h,gender,age,smile,anger,contempt,disgust,fear,happiness,neutral,sadness,surprise
0,sotu,1000,635,203,38,38,male,68.0,0.0,0.016,0.007,0.001,0.0,0.0,0.966,0.004,0.006
1,sotu,2000,535,122,142,142,male,67.0,0.0,0.0,0.001,0.0,0.0,0.0,0.965,0.033,0.0
2,sotu,2000,200,205,115,115,male,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999,0.0,0.0
3,sotu,2000,835,237,107,107,female,57.0,0.251,0.0,0.013,0.0,0.0,0.251,0.731,0.005,0.0
4,sotu,4000,554,133,137,137,male,68.0,0.0,0.0,0.003,0.0,0.0,0.0,0.823,0.175,0.0
5,sotu,4000,205,218,113,113,male,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999,0.001,0.0
6,sotu,4000,893,279,105,105,female,54.0,0.027,0.0,0.004,0.0,0.0,0.027,0.962,0.007,0.0
7,sotu,5000,1185,473,94,94,male,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.963,0.037,0.0
8,sotu,5000,471,498,93,93,female,58.0,0.0,0.074,0.025,0.001,0.0,0.0,0.852,0.047,0.0
9,sotu,5000,782,498,91,91,female,44.0,0.0,0.0,0.001,0.0,0.0,0.0,0.985,0.014,0.0
10,sotu,5000,105,513,90,90,female,56.0,0.002,0.007,0.003,0.0,0.0,0.002,0.947,0.042,0.0
11,sotu,5000,357,327,88,88,female,41.0,0.0,0.0,0.006,0.0,0.0,0.0,0.992,0.002,0.0
12,sotu,5000,695,317,82,82,female,49.0,0.0,0.001,0.0,0.0,0.0,0.0,0.994,0.004,0.0
13,sotu,5000,99,341,81,81,female,38.0,0.0,0.0,0.001,0.0,0.0,0.0,0.934,0.065,0.0
14,sotu,5000,885,92,80,80,male,44.0,0.0,0.0,0.002,0.0,0.0,0.0,0.971,0.026,0.0
15,sotu,5000,598,144,77,77,female,42.0,0.001,0.0,0.0,0.0,0.0,0.001,0.977,0.021,0.0
16,sotu,5000,201,154,77,77,female,44.0,0.01,0.003,0.258,0.003,0.0,0.01,0.688,0.038,0.0
17,sotu,5000,1050,326,75,75,female,38.0,0.511,0.0,0.001,0.0,0.0,0.511,0.481,0.008,0.0
